id,city_id,name,phone
1,3174,"Drs. Himawan Lailasari, S.Pt",0868380266
2,3573,"Hamima Nugroho, S.IP",+62 (068) 062-8434
3,6471,"Cakrabuana Yulianti, S.Kom",+62 (41) 010 6119
4,3175,"Akarsana Novitasari, M.Pd",+62 (0675) 070-7178
5,6472,Keisha Lailasari,+62-076-278-7186
6,3174,Jaka Pratiwi,+62-045-979-8357
7,3171,R.A. Ika Iswahyudi,+62 (0027) 139 9144
8,6472,"Yunita Melani, M.Kom.",(042) 445 6768
9,1375,Maya Agustina,(0457) 039-0033
10,6472,"R.M. Galih Halimah, S.Pd",+62 (061) 230-6301
11,1375,Oman Nababan,+62 (0505) 742 9198
12,3171,Daliman Prasasta,+62 (0131) 780-1115
13,3174,Zulaikha Hariyah,+62 (95) 089 0240
14,3175,"R.A. Dian Wahyuni, M.Farm",+62 (97) 456 1029
15,3171,Ir. Maimunah Nainggolan,+62 (90) 477-5438
16,3273,Luhung Rahimah,080 274 0347
17,3172,Adinata Suryono,+62 (0815) 779-1763
18,3273,Kasusra Pradipta,+62 (45) 817-2399
19,3171,Drs. Darijan Wulandari,+62 (0943) 936 9577
20,5171,Kiandra Sitompul,+62 (012) 001 1854
21,3578,Harjaya Puspasari,+62-020-630-2363
22,3471,Hafshah Wacana,(0053) 597-9451
23,3578,"Cut Tania Rahayu, M.Kom.",+62 (579) 231 7178
24,3471,Oliva Putra,+62 (0068) 881 0914
25,1371,Diah Setiawan,+62 (63) 483-5010
26,3172,Kawaca Pertiwi,(085) 354 2490
27,5171,"Hardi Gunarto, S.IP",+62-958-845-8591
28,3171,Gilda Nababan,+62 (0515) 590-0976
29,3273,Siska Anggriawan,+62 (017) 097-2304
30,3173,Hesti Padmasari,+62 (120) 014 6011
31,3573,Ir. Tina Adriansyah,(0269) 313-6724
32,3578,Ir. Lalita Kuswoyo,0888847133
33,1375,"Cut Suci Pangestu, M.M.",+62 (103) 858 6002
34,1375,Ina Susanti,+62-0765-037-0837
35,3471,Zizi Prakasa,+62-355-786-8962
36,1371,Garang Nainggolan,(0648) 154 4402
37,3175,Edward Lailasari,082 014 2461
38,3174,Garang Melani,+62 (370) 306 0339
39,3175,"Drs. Bagus Wastuti, S.H.",+62-89-090-8494
40,1371,Naradi Prakasa,+62 (046) 244-6890
41,3174,"Intan Wibowo, S.H.",+62-0697-867-0824
42,3573,Kamaria Damanik,+62 (0969) 261 0824
43,3174,"R. Raina Situmorang, S.H.",+62-234-043-7979
44,3171,"Johan Hardiansyah, S.IP",+62 (911) 745-2950
45,3573,Titin Najmudin,+62 (0081) 108 4606
46,7371,"T. Irfan Maryati, M.Farm",+62 (844) 708-9166
47,3471,Jumari Nasyidah,+62-77-031-9673
48,6471,Rina Ramadan,+62 (092) 817-7505
49,7371,"Diana Nurdiyanti, S.I.Kom",+62-008-660-5145
50,6471,Leo Natsir,(0058) 783-1222
51,5171,dr. Umar Palastri,+62-11-029-2290
52,3174,"Hamzah Utama, S.Kom",+62 (814) 810-1742
53,5171,Padmi Pertiwi,+62 (0318) 328-5717
54,3172,Maya Mandasari,+62 (0261) 145-0466
55,6471,"R.A. Michelle Ramadan, S.Psi",+62 (19) 216-0744
56,3174,R. Genta Wahyuni,+62 (743) 097-6080
57,3172,"R.M. Tedi Firmansyah, S.Sos",0851806465
58,1375,Eluh Saefullah,(0842) 476 8524
59,5171,"Gandewa Pradana, S.IP",+62 (084) 720 5306
60,3175,Diana Sitorus,+62 (114) 082-9695
61,5171,Uli Yulianti,(0960) 064-9563
62,3578,Carla Wijayanti,0863865889
63,7371,R. Tri Hutagalung,+62 (684) 109-3664
64,6471,Yunita Hidayat,+62 (092) 763 1576
65,3578,"Radit Damanik, M.Pd",(077) 148-0114
66,3578,Margana Suwarno,(0704) 624 1405
67,6472,"drg. Legawa Setiawan, M.Kom.",(056) 808 2668
68,3173,Nugraha Hasanah,+62-087-464-1935
69,6472,Lidya Budiman,+62 (02) 999-7727
70,6471,Jelita Irawan,+62-936-237-8000
71,3573,Catur Sitompul,+62 (0931) 571-2261
72,3175,"Cawuk Pudjiastuti, S.Pt",+62-80-960-0446
73,6471,"Soleh Mansur, S.Gz",(035) 580-3571
74,3173,"KH. Baktianto Nababan, S.E.",+62 (032) 226 7577
75,6471,"Unjani Maulana, S.T.",+62 (75) 997 4029
76,3573,R.A. Alika Pudjiastuti,+62 (0010) 831-0297
77,7371,Ana Nuraini,+62-0859-719-6181
78,7371,Rini Najmudin,(071) 239-2832
79,3171,Vinsen Maheswara,+62-830-133-8112
80,3273,Ida Sihombing,+62 (001) 278-4395
81,5171,Jaeman Puspita,(075) 864 1570
82,3273,Ilsa Utama,(0797) 638 0063
83,3171,"Danuja Usada, S.Psi",(018) 886-8074
84,3172,Ifa Rajata,+62 (854) 980 4526
85,3273,Dr. Irfan Hariyah,(074) 121 0444
86,3173,Kariman Putra,+62 (407) 355-9262
87,3573,Tasdik Astuti,+62 (624) 409 2157
88,3273,"Puti Tira Simbolon, S.I.Kom",(028) 063 5698
89,3175,Cengkal Pradana,+62 (99) 115 5426
90,3573,"Ir. Gaman Yulianti, M.Kom.",+62-66-811-9794
91,1375,Irma Widodo,+62 (0752) 481 5827
92,3173,Raina Saputra,+62 (0856) 315-8847
93,3173,"Ir. Cindy Prastuti, S.Ked",+62-29-392-6051
94,3175,"Wawan Purwanti, S.IP",+62 (0137) 750-2017
95,3471,Sabrina Hariyah,+62-039-371-7833
96,3174,"Dr. Jane Wasita, S.H.",+62 (799) 249 9722
97,5171,"Hafshah Utama, S.Pd",+62 (006) 991-8410
98,3578,"R. Candra Adriansyah, S.IP",0830357685
99,3172,R.M. Bancar Aryani,+62 (319) 195 3626
100,5171,Upik Hastuti,+62 (52) 492-7679
